run_id,campaign_id,system_id,model,replicate,run_index,run_status,failure_stage,failure_category,failure_reason,started_at,finished_at,schema_valid,referential_valid,strict_deterministic,guard_aware_deterministic,requirement_coverage,behavioral_pass_rate,final_state_agreement,trace_agreement,rejected_event_agreement,missing_transitions,extra_transitions,tier
C1_pilot_ollama_behavioral__login_system__mistral-nemo_12b__r03,C1_pilot_ollama_behavioral,login_system,mistral-nemo:12b,3,33,passed,none,none,,2026-06-03T05:52:37+00:00,2026-06-03T05:52:42+00:00,True,True,True,True,0.6666666666666666,0.5,0.0,0.0,1.0,4,4,pilot
C1_pilot_ollama_behavioral__login_system__mistral-nemo_12b__r04,C1_pilot_ollama_behavioral,login_system,mistral-nemo:12b,4,34,passed,none,none,,2026-06-03T05:52:42+00:00,2026-06-03T05:52:46+00:00,True,True,True,True,0.6666666666666666,0.5,0.0,0.0,1.0,4,4,pilot
C1_pilot_ollama_behavioral__login_system__mistral-nemo_12b__r05,C1_pilot_ollama_behavioral,login_system,mistral-nemo:12b,5,35,passed,none,none,,2026-06-03T05:52:46+00:00,2026-06-03T05:52:51+00:00,True,True,True,True,0.6666666666666666,0.5,0.0,0.0,1.0,4,4,pilot
C1_pilot_ollama_behavioral__login_system__gemma2_9b__r01,C1_pilot_ollama_behavioral,login_system,gemma2:9b,1,36,passed,none,none,,2026-06-03T05:52:51+00:00,2026-06-03T05:53:00+00:00,True,True,True,True,0.6666666666666666,1.0,1.0,1.0,1.0,0,0,pilot
C1_pilot_ollama_behavioral__login_system__gemma2_9b__r02,C1_pilot_ollama_behavioral,login_system,gemma2:9b,2,37,passed,none,none,,2026-06-03T05:53:00+00:00,2026-06-03T05:53:10+00:00,True,True,True,True,0.6666666666666666,1.0,1.0,1.0,1.0,0,0,pilot
C1_pilot_ollama_behavioral__login_system__gemma2_9b__r03,C1_pilot_ollama_behavioral,login_system,gemma2:9b,3,38,passed,none,none,,2026-06-03T05:53:10+00:00,2026-06-03T05:53:21+00:00,True,True,True,True,0.6666666666666666,1.0,1.0,1.0,1.0,0,0,pilot
C1_pilot_ollama_behavioral__login_system__gemma2_9b__r04,C1_pilot_ollama_behavioral,login_system,gemma2:9b,4,39,passed,none,none,,2026-06-03T05:53:21+00:00,2026-06-03T05:53:31+00:00,True,True,True,True,0.6666666666666666,1.0,1.0,1.0,1.0,0,0,pilot
C1_pilot_ollama_behavioral__login_system__gemma2_9b__r05,C1_pilot_ollama_behavioral,login_system,gemma2:9b,5,40,passed,none,none,,2026-06-03T05:53:31+00:00,2026-06-03T05:53:41+00:00,True,True,True,True,0.6666666666666666,1.0,1.0,1.0,1.0,0,0,pilot
C1_pilot_ollama_behavioral__atm__qwen2.5-coder_7b__r01,C1_pilot_ollama_behavioral,atm,qwen2.5-coder:7b,1,41,failed,parsing,parse_error,fsm parse error: 'target',2026-06-03T05:53:41+00:00,2026-06-03T05:53:50+00:00,False,,,,,,,,,,,pilot
C1_pilot_ollama_behavioral__atm__qwen2.5-coder_7b__r02,C1_pilot_ollama_behavioral,atm,qwen2.5-coder:7b,2,42,failed,parsing,parse_error,fsm parse error: 'target',2026-06-03T05:53:50+00:00,2026-06-03T05:53:57+00:00,False,,,,,,,,,,,pilot
