predictor_set,predictor_label,seed,auc_pooled,auc_within_groups,auc_cross_groups,n_within_pairs,n_cross_pairs,n_total_pairs,share_within_pairs,share_cross_pairs
B_basic_structural,Family B graph tallies,23,0.9791433891992551,0.73,0.9863026819923372,150,5220,5370,0.027932960893854747,0.9720670391061452
B_basic_structural,Family B graph tallies,24,0.9766294227188083,0.7,0.9845785440613026,150,5220,5370,0.027932960893854747,0.9720670391061452
B_basic_structural,Family B graph tallies,25,0.9836126629422719,0.7666666666666667,0.9898467432950192,150,5220,5370,0.027932960893854747,0.9720670391061452
B_basic_structural,Family B graph tallies,26,0.9830540037243948,0.7666666666666667,0.989272030651341,150,5220,5370,0.027932960893854747,0.9720670391061452
B_basic_structural,Family B graph tallies,27,0.9853817504655493,0.82,0.9901340996168583,150,5220,5370,0.027932960893854747,0.9720670391061452
B_basic_structural,Family B graph tallies,28,0.9797951582867783,0.7,0.9878352490421456,150,5220,5370,0.027932960893854747,0.9720670391061452
B_basic_structural,Family B graph tallies,29,0.9828677839851024,0.73,0.9901340996168583,150,5220,5370,0.027932960893854747,0.9720670391061452
B_basic_structural,Family B graph tallies,30,0.9804469273743016,0.7466666666666667,0.9871647509578544,150,5220,5370,0.027932960893854747,0.9720670391061452
B_basic_structural,Family B graph tallies,31,0.9799813780260708,0.7366666666666667,0.9869731800766284,150,5220,5370,0.027932960893854747,0.9720670391061452
B_basic_structural,Family B graph tallies,32,0.9804469273743017,0.75,0.9870689655172413,150,5220,5370,0.027932960893854747,0.9720670391061452
B_basic_structural,Family B graph tallies,33,0.9791433891992551,0.76,0.98544061302682,150,5220,5370,0.027932960893854747,0.9720670391061452
B_basic_structural,Family B graph tallies,34,0.9776536312849162,0.7266666666666667,0.9848659003831418,150,5220,5370,0.027932960893854747,0.9720670391061452
B_basic_structural,Family B graph tallies,35,0.9793296089385475,0.7366666666666667,0.9863026819923372,150,5220,5370,0.027932960893854747,0.9720670391061452
B_basic_structural,Family B graph tallies,36,0.9832402234636871,0.7933333333333333,0.9886973180076628,150,5220,5370,0.027932960893854747,0.9720670391061452
B_basic_structural,Family B graph tallies,37,0.9844506517690874,0.7733333333333333,0.9905172413793103,150,5220,5370,0.027932960893854747,0.9720670391061452
B_basic_structural,Family B graph tallies,38,0.9814711359404097,0.8,0.9866858237547893,150,5220,5370,0.027932960893854747,0.9720670391061452
B_basic_structural,Family B graph tallies,39,0.9804469273743017,0.7533333333333333,0.9869731800766284,150,5220,5370,0.027932960893854747,0.9720670391061452
B_basic_structural,Family B graph tallies,40,0.9844506517690875,0.75,0.9911877394636015,150,5220,5370,0.027932960893854747,0.9720670391061452
B_basic_structural,Family B graph tallies,41,0.9809124767225326,0.7633333333333333,0.9871647509578544,150,5220,5370,0.027932960893854747,0.9720670391061452
B_basic_structural,Family B graph tallies,42,0.9798882681564245,0.7666666666666667,0.9860153256704981,150,5220,5370,0.027932960893854747,0.9720670391061452
B_basic_structural,Family B graph tallies,43,0.9781191806331472,0.6833333333333333,0.9865900383141762,150,5220,5370,0.027932960893854747,0.9720670391061452
B_basic_structural,Family B graph tallies,44,0.9851024208566108,0.78,0.9909961685823755,150,5220,5370,0.027932960893854747,0.9720670391061452
B_basic_structural,Family B graph tallies,45,0.9832402234636872,0.7633333333333333,0.98955938697318,150,5220,5370,0.027932960893854747,0.9720670391061452
B_basic_structural,Family B graph tallies,46,0.9812849162011174,0.77,0.9873563218390805,150,5220,5370,0.027932960893854747,0.9720670391061452
B_basic_structural,Family B graph tallies,47,0.9764432029795158,0.7833333333333333,0.981992337164751,150,5220,5370,0.027932960893854747,0.9720670391061452
B_basic_structural,Family B graph tallies,48,0.9824953445065177,0.7733333333333333,0.9885057471264368,150,5220,5370,0.027932960893854747,0.9720670391061452
B_basic_structural,Family B graph tallies,49,0.9797020484171323,0.75,0.9863026819923372,150,5220,5370,0.027932960893854747,0.9720670391061452
B_basic_structural,Family B graph tallies,50,0.9823091247672253,0.78,0.9881226053639847,150,5220,5370,0.027932960893854747,0.9720670391061452
B_basic_structural,Family B graph tallies,51,0.9802607076350093,0.75,0.9868773946360153,150,5220,5370,0.027932960893854747,0.9720670391061452
B_basic_structural,Family B graph tallies,52,0.978584729981378,0.7566666666666667,0.9849616858237548,150,5220,5370,0.027932960893854747,0.9720670391061452
B_basic_structural,Family B graph tallies,53,0.9803538175046553,0.75,0.9869731800766284,150,5220,5370,0.027932960893854747,0.9720670391061452
B_basic_structural,Family B graph tallies,54,0.9824953445065177,0.77,0.9886015325670499,150,5220,5370,0.027932960893854747,0.9720670391061452
B_basic_structural,Family B graph tallies,55,0.9766294227188081,0.7533333333333333,0.9830459770114942,150,5220,5370,0.027932960893854747,0.9720670391061452
B_basic_structural,Family B graph tallies,56,0.9806331471135941,0.7433333333333333,0.9874521072796935,150,5220,5370,0.027932960893854747,0.9720670391061452
B_basic_structural,Family B graph tallies,57,0.9855679702048417,0.7866666666666666,0.9912835249042146,150,5220,5370,0.027932960893854747,0.9720670391061452
B_basic_structural,Family B graph tallies,58,0.9794227188081936,0.7466666666666667,0.9861111111111112,150,5220,5370,0.027932960893854747,0.9720670391061452
B_basic_structural,Family B graph tallies,59,0.9831471135940408,0.73,0.9904214559386973,150,5220,5370,0.027932960893854747,0.9720670391061452
B_basic_structural,Family B graph tallies,60,0.9837057728119181,0.7566666666666667,0.9902298850574712,150,5220,5370,0.027932960893854747,0.9720670391061452
B_basic_structural,Family B graph tallies,61,0.9811918063314712,0.7566666666666667,0.9876436781609196,150,5220,5370,0.027932960893854747,0.9720670391061452
B_basic_structural,Family B graph tallies,62,0.9816573556797021,0.78,0.9874521072796935,150,5220,5370,0.027932960893854747,0.9720670391061452
B_basic_structural,Family B graph tallies,63,0.9850093109869646,0.78,0.9909003831417624,150,5220,5370,0.027932960893854747,0.9720670391061452
B_basic_structural,Family B graph tallies,64,0.9760707635009311,0.75,0.9825670498084291,150,5220,5370,0.027932960893854747,0.9720670391061452
B_basic_structural,Family B graph tallies,65,0.9780260707635009,0.74,0.9848659003831418,150,5220,5370,0.027932960893854747,0.9720670391061452
B_basic_structural,Family B graph tallies,66,0.9809124767225326,0.7866666666666666,0.9864942528735632,150,5220,5370,0.027932960893854747,0.9720670391061452
B_basic_structural,Family B graph tallies,67,0.9771880819366853,0.72,0.9845785440613026,150,5220,5370,0.027932960893854747,0.9720670391061452
B_basic_structural,Family B graph tallies,68,0.9836126629422718,0.7466666666666667,0.9904214559386973,150,5220,5370,0.027932960893854747,0.9720670391061452
B_basic_structural,Family B graph tallies,69,0.9764432029795158,0.7566666666666667,0.9827586206896551,150,5220,5370,0.027932960893854747,0.9720670391061452
B_basic_structural,Family B graph tallies,70,0.9781191806331471,0.7333333333333333,0.9851532567049809,150,5220,5370,0.027932960893854747,0.9720670391061452
B_basic_structural,Family B graph tallies,71,0.9797951582867784,0.7566666666666667,0.9862068965517241,150,5220,5370,0.027932960893854747,0.9720670391061452
B_basic_structural,Family B graph tallies,72,0.9787709497206705,0.7366666666666667,0.985727969348659,150,5220,5370,0.027932960893854747,0.9720670391061452
B_basic_structural,Family B graph tallies,73,0.9809124767225326,0.73,0.9881226053639847,150,5220,5370,0.027932960893854747,0.9720670391061452
B_basic_structural,Family B graph tallies,74,0.9782122905027933,0.7533333333333333,0.9846743295019157,150,5220,5370,0.027932960893854747,0.9720670391061452
B_basic_structural,Family B graph tallies,75,0.9753258845437617,0.6966666666666667,0.9833333333333333,150,5220,5370,0.027932960893854747,0.9720670391061452
B_basic_structural,Family B graph tallies,76,0.9758845437616387,0.6866666666666666,0.9841954022988506,150,5220,5370,0.027932960893854747,0.9720670391061452
B_basic_structural,Family B graph tallies,77,0.9781191806331471,0.78,0.9838122605363985,150,5220,5370,0.027932960893854747,0.9720670391061452
B_basic_structural,Family B graph tallies,78,0.9817504655493483,0.7566666666666667,0.9882183908045977,150,5220,5370,0.027932960893854747,0.9720670391061452
B_basic_structural,Family B graph tallies,79,0.9817504655493483,0.79,0.9872605363984674,150,5220,5370,0.027932960893854747,0.9720670391061452
B_basic_structural,Family B graph tallies,80,0.9775605214152701,0.7366666666666667,0.9844827586206897,150,5220,5370,0.027932960893854747,0.9720670391061452
B_basic_structural,Family B graph tallies,81,0.9787709497206704,0.75,0.9853448275862069,150,5220,5370,0.027932960893854747,0.9720670391061452
B_basic_structural,Family B graph tallies,82,0.9837057728119181,0.7866666666666666,0.989367816091954,150,5220,5370,0.027932960893854747,0.9720670391061452
B_basic_structural,Family B graph tallies,83,0.9843575418994414,0.7566666666666667,0.9909003831417624,150,5220,5370,0.027932960893854747,0.9720670391061452
B_basic_structural,Family B graph tallies,84,0.9805400372439479,0.7266666666666667,0.9878352490421456,150,5220,5370,0.027932960893854747,0.9720670391061452
B_basic_structural,Family B graph tallies,85,0.9824022346368715,0.79,0.9879310344827587,150,5220,5370,0.027932960893854747,0.9720670391061452
B_basic_structural,Family B graph tallies,86,0.9835195530726257,0.7466666666666667,0.9903256704980843,150,5220,5370,0.027932960893854747,0.9720670391061452
B_basic_structural,Family B graph tallies,87,0.9810986964618249,0.7433333333333333,0.9879310344827587,150,5220,5370,0.027932960893854747,0.9720670391061452
B_basic_structural,Family B graph tallies,88,0.981564245810056,0.7533333333333333,0.9881226053639847,150,5220,5370,0.027932960893854747,0.9720670391061452
B_basic_structural,Family B graph tallies,89,0.9792364990689013,0.7566666666666667,0.985632183908046,150,5220,5370,0.027932960893854747,0.9720670391061452
